datasize,ml_time,classic_time,ml_compressed_size,classic_compressed_size,ml_compression_ratio,classic_compression_ratio,ml_method,classic_method,ml_score,classic_score,ml_cbor_original_size,ml_cbor_compressed_size,ml_cbor_compressratio,classic_cbor_original_size,classic_cbor_compressed_size,classic_cbor_compressratio,ml_json_original_size,ml_json_compressed_size,ml_json_compressratio,classic_json_original_size,classic_json_compressed_size,classic_json_compressratio
100,0.99462890625,88.060791015625,21,21,0.79,0.79,CompressNTHS_0.2,CompressNTHS_0.2,90.3552,90.3552,2291,713,0.6887821911828895,2291,713,0.6887821911828895,5354,1371,0.7439297721329847,5354,1371,0.7439297721329847
200,1.4580078125,247.8779296875,21,40,0.895,0.8,CompressNTHS_0.1,CompressPIP_PD_0.2,89.2311,90.9201,4291,713,0.8338382661384293,4291,1093,0.7452808203216034,10495,1382,0.8683182467841829,10495,2348,0.7762744163887566
300,2.100830078125,479.19189453125,31,60,0.8966666666666666,0.8,CompressNTHS_0.1,CompressPIP_ED_0.2,89.1035,90.8028,6292,913,0.8548951048951049,6292,1493,0.7627145581691036,15598,1908,0.8776766252083601,15580,3369,0.7837612323491656
400,2.8720703125,785.049072265625,41,81,0.8975,0.7975,CompressNTHS_0.1,CompressNTHS_0.2,89.6776,90.8318,8292,1113,0.8657742402315485,8292,1913,0.769295706705258,20675,2406,0.8836275695284159,20675,4442,0.7851511487303506
500,3.26708984375,1147.903076171875,51,100,0.898,0.8,CompressNTHS_0.1,CompressPIP_ED_0.2,89.4357,90.8549,10292,1313,0.8724251846094053,10292,2293,0.7772055965798679,25847,2918,0.8871048864471699,25845,5420,0.7902882569162314
600,3.84521484375,1638.79296875,61,121,0.8983333333333333,0.7983333333333333,CompressNTHS_0.1,CompressNTHS_0.2,89.3636,90.776,12292,1513,0.8769118125610152,12292,2713,0.7792873413602343,31039,3447,0.8889461645027223,31040,6522,0.7898840206185567
700,4.486083984375,2108.583740234375,71,141,0.8985714285714286,0.7985714285714286,CompressNTHS_0.1,CompressNTHS_0.2,89.8024,90.8994,14380,1723,0.8801808066759388,14380,3131,0.7822670375521558,36215,3964,0.8905425928482673,36211,7551,0.7914722045787191
800,5.20703125,2648.802978515625,81,161,0.89875,0.79875,CompressNTHS_0.1,CompressNTHS_0.2,89.37,90.791,16580,1943,0.882810615199035,16580,3571,0.7846200241254524,41389,4482,0.8917103578245428,41376,8578,0.7926817478731631
900,5.7802734375,3483.963623046875,91,181,0.8988888888888888,0.7988888888888889,CompressNTHS_0.1,CompressNTHS_0.2,89.565,90.8483,18780,2163,0.8848242811501598,18780,4011,0.7864217252396166,46549,4998,0.892629272379643,46548,9622,0.7932886482770474
1000,6.32275390625,4153.1181640625,101,201,0.899,0.799,CompressNTHS_0.1,CompressNTHS_0.2,89.7828,90.9113,20980,2383,0.8864156339370829,20980,4451,0.7878455672068637,51675,5499,0.8935849056603774,51687,10647,0.7940100992512624
