datasize,ml_time,classic_time,ml_compressed_size,classic_compressed_size,ml_compression_ratio,classic_compression_ratio,ml_method,classic_method,ml_score,classic_score,ml_cbor_original_size,ml_cbor_compressed_size,ml_cbor_compressratio,classic_cbor_original_size,classic_cbor_compressed_size,classic_cbor_compressratio,ml_json_original_size,ml_json_compressed_size,ml_json_compressratio,classic_json_original_size,classic_json_compressed_size,classic_json_compressratio
100,1.453125,102.5439453125,20,71,0.8,0.29,CompressPIP_ED_0.2,CompressNTHS_0.7,74.0635,75.9001,2521,761,0.6981356604522015,2521,1883,0.25307417691392303,5739,1446,0.7480397281756404,5739,4189,0.27008189580066216
200,2.4990234375,268.13232421875,40,20,0.8,0.9,CompressPIP_PD_0.2,CompressPIP_PD_0.1,78.7789,78.9499,4721,1201,0.7456047447574666,4721,761,0.83880533785215,11150,2507,0.7751569506726458,11148,1434,0.871367061356297
300,3.83203125,481.26416015625,60,60,0.8,0.8,CompressPIP_PD_0.2,CompressPIP_PD_0.2,79.0094,79.0094,6922,1641,0.7629297890783011,6922,1641,0.7629297890783011,16544,3569,0.784272243713733,16544,3569,0.784272243713733
400,5.412841796875,810.36279296875,80,80,0.8,0.8,CompressPIP_PD_0.2,CompressPIP_PD_0.2,79.3255,79.3255,9122,2081,0.7718702039026529,9122,2081,0.7718702039026529,21965,4649,0.7883450944684726,21965,4649,0.7883450944684726
500,3.497314453125,1046.025146484375,101,50,0.798,0.9,CompressNTHS_0.2,CompressPIP_PD_0.1,75.5185,79.6397,11322,2543,0.7753930400989224,11322,1421,0.8744921391980216,27433,5831,0.7874457769839245,27398,3037,0.8891524928826922
600,4.11328125,1449.89306640625,121,60,0.7983333333333333,0.9,CompressNTHS_0.2,CompressPIP_PD_0.1,71.1863,80.0252,13522,2983,0.7793965389735247,13522,1641,0.8786422126904304,32958,6979,0.7882456459736634,32900,3615,0.8901215805471124
700,14.94873046875,1931.196044921875,70,70,0.9,0.9,CompressPIP_ED_0.1,CompressPIP_PD_0.1,77.5846,79.7498,15722,1861,0.8816308357715303,15722,1861,0.8816308357715303,38354,4181,0.8909892058194713,38323,4157,0.8915272812671242
800,16.302978515625,2270.412109375,80,80,0.9,0.9,CompressPIP_ED_0.1,CompressPIP_PD_0.1,74.823,79.9976,17922,2081,0.8838857270393929,17922,2081,0.8838857270393929,43705,4670,0.8931472371582199,43700,4669,0.8931578947368422
900,17.564208984375,2919.206298828125,90,90,0.9,0.9,CompressPIP_ED_0.1,CompressPIP_PD_0.1,77.7023,80.1489,20122,2301,0.8856475499453335,20122,2301,0.8856475499453335,49269,5257,0.8933000466824981,49224,5218,0.8939947992849017
1000,20.2490234375,3494.529052734375,100,100,0.9,0.9,CompressPIP_ED_0.1,CompressPIP_PD_0.1,76.9016,79.7037,22322,2521,0.887062091210465,22322,2521,0.887062091210465,54819,5818,0.8938689140626425,54770,5771,0.894632097863794
