datasize,ml_time,classic_time,ml_compressed_size,classic_compressed_size,ml_compression_ratio,classic_compression_ratio,ml_method,classic_method,ml_score,classic_score,ml_cbor_original_size,ml_cbor_compressed_size,ml_cbor_compressratio,classic_cbor_original_size,classic_cbor_compressed_size,classic_cbor_compressratio,ml_json_original_size,ml_json_compressed_size,ml_json_compressratio,classic_json_original_size,classic_json_compressed_size,classic_json_compressratio
100,1.123046875,88.60693359375,41,41,0.59,0.59,CompressMinMax_0.4,CompressMinMax_0.4,70.9563,10.227712644674494,2513,1215,0.5165141265419817,2513,1215,0.5165141265419817,5695,2546,0.5529411764705883,5695,2546,0.5529411764705883
200,2.742919921875,247.846435546875,80,100,0.6,0.5,CompressPIP_PD_0.4,CompressPIP_ED_0.5,1,10.912339607865867,4721,2081,0.5592035585681,4721,2521,0.46600296547341663,11149,4671,0.5810386581756212,11087,5690,0.48678632632813207
300,4.261962890625,453.089111328125,120,150,0.6,0.5,CompressPIP_PD_0.4,CompressPIP_ED_0.5,1,10.872648606199453,6922,2961,0.5722334585379948,6922,3621,0.4768852932678417,16543,6813,0.5881641782022607,16542,8436,0.490025389916576
400,5.70703125,731.658935546875,161,161,0.5975,0.5975,CompressMinMax_0.4,CompressMinMax_0.4,71.4373,10.289466918750604,9122,3863,0.5765183073887306,9122,3863,0.5765183073887306,21997,9081,0.5871709778606173,21997,9081,0.5871709778606173
500,7.320068359375,1010.574951171875,200,200,0.6,0.6,CompressPIP_PD_0.4,CompressPIP_PD_0.4,74.85,10.7784012434741,11322,4721,0.5830242006712595,11322,4721,0.5830242006712595,27396,11154,0.5928602715724923,27396,11154,0.5928602715724923
600,8.82275390625,1411.44482421875,240,300,0.6,0.5,CompressPIP_PD_0.4,CompressPIP_ED_0.5,1,10.951726271525159,13522,5602,0.5857121727555096,13522,6922,0.48809347729625796,32897,13368,0.5936407575158829,32866,16591,0.49519260025558326
700,30.12890625,1892.728271484375,700,280,0.0,0.6,NoCompress,CompressMinMax_0.4,1,10.110241729329667,15722,15722,0.0,15714,6474,0.5880106911034746,38140,38140,0.0,38302,15461,0.5963396167301969
800,38.785888671875,2216.748046875,800,240,0.0,0.7,NoCompress,CompressMinMax_0.3,1,10.150234538116923,17922,17922,0.0,17914,5594,0.6877302668304119,43548,43548,0.0,43683,13274,0.6961289288739326
900,48.185791015625,2870.44189453125,900,360,0.0,0.6,NoCompress,CompressMinMax_0.4,1,10.311102917877516,20122,20122,0.0,20114,8234,0.5906333896788306,49071,49071,0.0,49234,19796,0.5979201364910428
1000,58.52294921875,3416.626953125,1000,400,0.0,0.6,NoCompress,CompressMinMax_0.4,1,10.307714014962446,22322,22322,0.0,22314,9114,0.591556870126378,54621,54621,0.0,54783,22034,0.5977949363853751
